Category,Component,Quantity,Specifications,Estimated Price,Purchase Link,Notes
Main Controller,Raspberry Pi 5 Model B,1,8GB RAM,$95,"https://www.microcenter.com/product/673711/5;_ARM_Cortex_A76_Quad_Core_Processor;_8GB_LPDDR4X_RAM","Official store or authorized retailers like Adafruit, CanaKit"
Camera,Raspberry Pi Camera Module 3,1, Wide preferred,$35,"https://www.microcenter.com/product/662016/Camera_3","Standard version or wide angle"
Connectivity,Camera Cable,1,15cm-30cm ribbon cable,$4,"https://www.pishop.us/product/camera-cable-for-raspberry-pi-5/?srsltid=AfmBOopUsHC0OIu2zXQ2PAO0XK7Ba0d39k_3Nnq6kovq7zd2f40WQOdEmEg","Required for Camera Module 3 connection"
Motors,N20 DC Gear Motor with Hall Encoder,4,"6V, All-metal Gearbox, L-shaped 6PIN Connector, Magnetic Hall Encoder, 60RPM",~$8-12 each,"https://a.co/d/9TnXhcp","Search for N20 with hall encoder and L-shaped connector. Common gear ratios: 1:100 or 1:150"
Motor Driver,TB6612FNG Motor Driver Board,1,Dual H-Bridge 1.2A per channel,$15,"https://www.sparkfun.com/sparkfun-motor-driver-dual-tb6612fng-1a.html",""
Steering,Miuzei MG90S Micro Servo,1,9g Metal Geared Servo Motor. 4 pack,$14,"https://a.co/d/aozp7PX","4-pack available, only need 1 for steering mechanism"
IMU,MPU-6050,1,6-axis Gyroscope + Accelerometer I2C,$7,"https://a.co/d/8KAH4Vv","GY-521 breakout board"
Power,Blomiky 6V NiMH Battery,1,2400mAh AA NiMH with SM-2P plug + USB charge cable,$15,"https://a.co/d/0zdu3bS","RC car rechargeable battery for stunt vehicles"
Power,WWZMDiB XL6009 Buck/Boost Converter,1,DC-DC 3.8-32V to 1.25-35V Adjustable,$10,"https://a.co/d/98DkTq4","3-pack, adjust output to 5V for logic boards (like pi5)"
Connectivity,MicroSD Card,1,"64GB+ Class 10 U1, two pack for multiple OS",~$8-12,"https://a.co/d/3vxdAz5","For Raspberry Pi OS"
Connectivity,Jumper Wires,1 set,"Male-to-Female, Male-to-Male and Female-to-Female",$10,"https://a.co/d/bcNZuKm","Dupont connector wires"
Mechanical,3D Printer Filament - PLA,1kg,1.75mm PLA filament,$20,"https://us.store.bambulab.com/products/pla-basic-filament","For prototyping chassis"
Mechanical,3D Printer Filament - PET-CF,.5kg,1.75mm Carbon Fiber PETG,$45,"https://us.store.bambulab.com/products/pet-cf","For final product chassis, structural parts and wheels"
Mechanical,Tires,4,INJORA 1.9" 108*40mm Rubber Tires,$20,"https://www.injora.com/products/4pcs-1-9-108-40mm-rubber-tyre-wheel-tires-for-1-10-rc-rock-crawler?currency=USD&variant=39449057951792&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=cacadfb8c118&srsltid=AfmBOoqZqEhTF2sneD0Tmv4KOuZAOT9T6NWjl3_haOrfKe0XAJFzdWYKzBw","High performance rock crawler tires for 3D printed wheels"
Optional,Raspberry Pi 5 Active Cooler,1 set,For RPi5,~$5-8,"https://www.adafruit.com/product/5815?srsltid=AfmBOorYPUUjfGu92mQHhM3yrCfRHYRFOacjbO5fitp1QfHWx6eZ8WjX","Cooler for steady temperature despite heavy CV algorithms"
